Gene ID	CCDS ID
ENSMUSG00000021384	
ENSMUSG00000096215	CCDS57017
ENSMUSG00000101311	
ENSMUSG00000004748	CCDS24376
ENSMUSG00000026516	
ENSMUSG00000054400	
ENSMUSG00000085562	
ENSMUSG00000096177	
ENSMUSG00000021384	
ENSMUSG00000101076	
ENSMUSG00000017677	
ENSMUSG00000054400	
ENSMUSG00000021384	
ENSMUSG00000100803	
ENSMUSG00000104803	
ENSMUSG00000026516	
ENSMUSG00000004748	
ENSMUSG00000104705	
ENSMUSG00000085562	
ENSMUSG00000003037	CCDS22409
ENSMUSG00000104646	
ENSMUSG00000096215	
ENSMUSG00000026516	
ENSMUSG00000096273	
ENSMUSG00000100873	
ENSMUSG00000096215	CCDS70681
ENSMUSG00000085562	
ENSMUSG00000025004	
ENSMUSG00000026516	
ENSMUSG00000042423	CCDS52408
ENSMUSG00000017677	
ENSMUSG00000054426	
ENSMUSG00000054400	CCDS40449
ENSMUSG00000026096	
ENSMUSG00000075196	
ENSMUSG00000085562	
ENSMUSG00000100462	
ENSMUSG00000096273	CCDS29661
ENSMUSG00000097532	
ENSMUSG00000054426	
ENSMUSG00000017299	CCDS17054
ENSMUSG00000017677	
ENSMUSG00000054400	
ENSMUSG00000025004	
ENSMUSG00000003037	
ENSMUSG00000085562	
ENSMUSG00000075196	
ENSMUSG00000086349	
ENSMUSG00000054426	
ENSMUSG00000102195	
ENSMUSG00000101692	
ENSMUSG00000096215	
ENSMUSG00000108514	
ENSMUSG00000054400	
ENSMUSG00000025004	
ENSMUSG00000054426	
ENSMUSG00000017677	
ENSMUSG00000026096	
ENSMUSG00000003037	
ENSMUSG00000017299	
ENSMUSG00000096215	
ENSMUSG00000075196	CCDS16246
ENSMUSG00000054426	
ENSMUSG00000026096	
ENSMUSG00000054400	
ENSMUSG00000096215	
ENSMUSG00000025004	
ENSMUSG00000042345	CCDS50054
ENSMUSG00000102195	
ENSMUSG00000017299	
ENSMUSG00000102195	
ENSMUSG00000054426	
ENSMUSG00000054400	
ENSMUSG00000054426	
ENSMUSG00000026096	CCDS14953
ENSMUSG00000017677	
ENSMUSG00000017299	
ENSMUSG00000105017	
ENSMUSG00000100275	
ENSMUSG00000042423	
ENSMUSG00000046351	CCDS26337
ENSMUSG00000054400	
ENSMUSG00000042345	
ENSMUSG00000015365	
ENSMUSG00000100464	
ENSMUSG00000039813	CCDS18155
ENSMUSG00000042345	
ENSMUSG00000050490	
ENSMUSG00000017677	
ENSMUSG00000026096	
ENSMUSG00000096708	CCDS29662
ENSMUSG00000015365	
ENSMUSG00000100472	
ENSMUSG00000046351	
ENSMUSG00000024406	CCDS37600
ENSMUSG00000039813	
ENSMUSG00000085534	
ENSMUSG00000026096	
ENSMUSG00000015365	
ENSMUSG00000085534	
ENSMUSG00000042423	
ENSMUSG00000110626	
ENSMUSG00000086453	
ENSMUSG00000042345	
ENSMUSG00000085534	
ENSMUSG00000042345	
ENSMUSG00000100679	
ENSMUSG00000086453	
ENSMUSG00000085534	
ENSMUSG00000015365	CCDS27737
ENSMUSG00000086453	
ENSMUSG00000029166	CCDS19163
ENSMUSG00000046351	
ENSMUSG00000061666	CCDS25206
ENSMUSG00000110498	
ENSMUSG00000042423	
ENSMUSG00000100289	
ENSMUSG00000084114	
ENSMUSG00000024406	
ENSMUSG00000008438	CCDS26022
ENSMUSG00000100486	
ENSMUSG00000046351	
ENSMUSG00000075195	
ENSMUSG00000025324	CCDS39972
ENSMUSG00000024406	
ENSMUSG00000042423	
ENSMUSG00000025004	CCDS29798
ENSMUSG00000100486	
ENSMUSG00000110697	
ENSMUSG00000030663	
ENSMUSG00000029166	
ENSMUSG00000024406	
ENSMUSG00000102815	
ENSMUSG00000110697	
ENSMUSG00000075195	
ENSMUSG00000087097	
ENSMUSG00000024406	
ENSMUSG00000042423	
ENSMUSG00000029166	CCDS80240
ENSMUSG00000075195	CCDS16247
ENSMUSG00000109054	
ENSMUSG00000083667	
ENSMUSG00000022583	CCDS27543
ENSMUSG00000109189	
ENSMUSG00000024406	
ENSMUSG00000029166	
ENSMUSG00000023140	
ENSMUSG00000042423	
ENSMUSG00000022583	CCDS27543
ENSMUSG00000093516	
ENSMUSG00000029166	
ENSMUSG00000080889	
ENSMUSG00000104065	
ENSMUSG00000081281	
ENSMUSG00000035184	
ENSMUSG00000042423	
ENSMUSG00000029166	
ENSMUSG00000099651	
ENSMUSG00000035184	
ENSMUSG00000103126	
ENSMUSG00000031133	CCDS40984
ENSMUSG00000042423	CCDS52408
ENSMUSG00000043102	CCDS15902
ENSMUSG00000075194	
ENSMUSG00000023140	CCDS20256
ENSMUSG00000031654	CCDS22506
ENSMUSG00000031497	
ENSMUSG00000099467	
ENSMUSG00000031133	
ENSMUSG00000031654	
ENSMUSG00000101503	
ENSMUSG00000060245	CCDS28427
ENSMUSG00000031133	
ENSMUSG00000056184	
ENSMUSG00000075194	CCDS16248
ENSMUSG00000030663	
ENSMUSG00000039977	CCDS22839
ENSMUSG00000035184	CCDS56963
ENSMUSG00000056184	CCDS27792
ENSMUSG00000001424	CCDS19953
ENSMUSG00000044835	
ENSMUSG00000031654	CCDS22506
ENSMUSG00000035184	
ENSMUSG00000024384	CCDS29115
ENSMUSG00000101289	
ENSMUSG00000001424	
ENSMUSG00000039977	
ENSMUSG00000099934	
ENSMUSG00000098295	
ENSMUSG00000001424	
ENSMUSG00000031497	CCDS22094
ENSMUSG00000072049	CCDS53179
ENSMUSG00000024384	
ENSMUSG00000001424	
ENSMUSG00000098086	
ENSMUSG00000039977	
ENSMUSG00000016626	CCDS21688
ENSMUSG00000001424	
ENSMUSG00000071629	
ENSMUSG00000039977	
ENSMUSG00000001424	
ENSMUSG00000031497	
ENSMUSG00000071629	
ENSMUSG00000096831	
ENSMUSG00000001424	
ENSMUSG00000074903	
ENSMUSG00000016626	
ENSMUSG00000031497	
ENSMUSG00000001424	
ENSMUSG00000039977	CCDS22839
ENSMUSG00000043155	CCDS18519
ENSMUSG00000031133	
ENSMUSG00000083969	
ENSMUSG00000031497	
ENSMUSG00000109184	
ENSMUSG00000044835	
ENSMUSG00000001424	
ENSMUSG00000024384	
ENSMUSG00000079179	
ENSMUSG00000111299	
ENSMUSG00000022797	CCDS28123
ENSMUSG00000031497	
ENSMUSG00000024384	
ENSMUSG00000001424	
ENSMUSG00000086261	
ENSMUSG00000095494	
ENSMUSG00000031133	
ENSMUSG00000022201	
ENSMUSG00000103899	
ENSMUSG00000024384	
ENSMUSG00000044835	
ENSMUSG00000079179	
ENSMUSG00000022797	
ENSMUSG00000031133	
ENSMUSG00000033554	CCDS17782
ENSMUSG00000022201	
ENSMUSG00000028524	
ENSMUSG00000049939	
ENSMUSG00000022797	
ENSMUSG00000031133	
ENSMUSG00000024384	
ENSMUSG00000022201	
ENSMUSG00000033554	
ENSMUSG00000044835	
ENSMUSG00000028524	
ENSMUSG00000110124	
ENSMUSG00000031146	CCDS40842
ENSMUSG00000049001	CCDS20207
ENSMUSG00000024384	
ENSMUSG00000033554	
ENSMUSG00000022797	
ENSMUSG00000049939	CCDS39448
ENSMUSG00000050215	CCDS38744
ENSMUSG00000030663	CCDS21766
ENSMUSG00000109925	
ENSMUSG00000102015	
ENSMUSG00000044835	CCDS48414
ENSMUSG00000022797	
ENSMUSG00000109594	
ENSMUSG00000017300	CCDS17056
ENSMUSG00000073894	CCDS21689
ENSMUSG00000075193	
ENSMUSG00000033554	
ENSMUSG00000109724	
ENSMUSG00000049001	
ENSMUSG00000017300	
ENSMUSG00000030663	
ENSMUSG00000049160	
ENSMUSG00000031146	
ENSMUSG00000109724	
ENSMUSG00000075193	
ENSMUSG00000022797	
ENSMUSG00000100256	
ENSMUSG00000049160	
ENSMUSG00000031146	
ENSMUSG00000075193	
ENSMUSG00000033554	
ENSMUSG00000064036	CCDS79663
ENSMUSG00000100256	
ENSMUSG00000075193	CCDS16249
ENSMUSG00000030663	
ENSMUSG00000070822	
