Gene ID	Associated Gene Name	EntrezGene ID	Version (gene)
ENSG00000267235	ZNF861P		2
ENSG00000271996	RP11-337N6.1		1
ENSG00000269966	RP3-331H24.5		1
ENSG00000223231	AL035706.1		1
ENSG00000260327	ACTR3BP3		2
ENSG00000237178	AC019080.1		2
ENSG00000257315	ZBED6	100381270	1
ENSG00000271440	RP11-373N24.2		1
ENSG00000233061	TTLL7-IT1		1
ENSG00000262543	RP3-422G23.4		1
ENSG00000250277	RP11-468N14.11		2
ENSG00000263626	AL392111.1		1
ENSG00000238295	snoU13		1
ENSG00000238099	RP11-12A2.3	645434	1
ENSG00000223145	RN7SKP112		1
ENSG00000272278	AL121932.1		1
ENSG00000228956	AC144521.1	101929587	4
ENSG00000228956	AC144521.1	101927805	4
ENSG00000228956	AC144521.1	101927777	4
ENSG00000227271	RPL39P25		1
ENSG00000229486	RP4-552O12.1		2
ENSG00000237655	AC073834.3		1
ENSG00000230597	RP3-331H24.4		1
ENSG00000248137	RP11-468D11.1		1
ENSG00000235570	LINC00533		1
ENSG00000233639	LINC01158	100506421	1
ENSG00000219806	ATP5F1P6		1
ENSG00000235692	PFDN6	102465501	4
ENSG00000235692	PFDN6	10471	4
ENSG00000242169	RP11-219G10.1		2
ENSG00000175164	ABO	28	9
ENSG00000267308	AC004510.3		1
ENSG00000272002	RP11-557L19.1		1
ENSG00000229941	AC012499.1		1
ENSG00000248880	NARG2P1		1
ENSG00000227711	RP11-275O4.3		1
ENSG00000237425	RPSAP2		1
ENSG00000251685	RP11-813N20.1		2
ENSG00000226051	ZNF503-AS1	253264	2
ENSG00000205695	RP11-15H7.2		3
ENSG00000105701	FKBP8	23770	11
ENSG00000233237	LINC00472	79940	2
ENSG00000266657	AL583842.3		1
ENSG00000260866	RP11-626K17.5		1
ENSG00000182004	SNRPE	6635	8
ENSG00000214049	UCA1	652995	6
ENSG00000271576	RP11-486G15.2		1
ENSG00000239012	AL583842.1		1
ENSG00000250831	CTD-2232E5.2		1
ENSG00000202264	RNA5SP77		1
ENSG00000248736	RP11-35O7.1		1
ENSG00000265466	AL583842.2		1
ENSG00000221191	AL662890.1		1
ENSG00000249378	LINC01060	401164	1
ENSG00000051620	HEBP2	23593	6
ENSG00000213540	RP11-486G15.1		3
ENSG00000225934	RP4-566D2.1		2
ENSG00000227035	RP11-3N2.8		1
ENSG00000225015	SNX18P15		1
ENSG00000235559	NOL5BP		1
ENSG00000009765	IYD	389434	10
ENSG00000236664	AC011998.1		1
ENSG00000265715	MIR3118-1	100423008	1
ENSG00000265715	MIR3118-1	100422949	1
ENSG00000265715	MIR3118-1	100422844	1
ENSG00000226970	RP11-82H13.2		2
ENSG00000145495	MARCH6	10299	10
ENSG00000172803	SNX32	254122	13
ENSG00000265764	AL662890.3		1
ENSG00000265216	AL592310.1		1
ENSG00000213962	API5P2		2
ENSG00000233218	SNX18P16		1
ENSG00000225173	XXbac-BPG308K3.5		1
ENSG00000215812	ZNF847P	401983	4
ENSG00000213774	AC010904.1		3
ENSG00000242676	ANKRD20A12P		3
ENSG00000231426	RP5-899B16.1	100132735	1
ENSG00000221539	SNORD99	692212	1
ENSG00000229744	AC011998.2		1
ENSG00000225595	XXbac-BPG308K3.6	401242	2
ENSG00000260307	PABPC1P13		2
ENSG00000249808	CTD-2029E14.1	102467074	1
ENSG00000199959	SNORA2		1
ENSG00000229388	RP11-442N24__B.1		1
ENSG00000182447	OTOL1	131149	4
ENSG00000206788	RNU6-629P		1
ENSG00000267453	AC004791.2		2
ENSG00000234231	AC093616.4	101930107	2
ENSG00000177302	TOP3A	7156	10
ENSG00000249909	CYCTP		1
ENSG00000250244	CTB-49A3.4		1
ENSG00000249237	RP11-376N17.4		1
ENSG00000230005	SNAP47-AS1		2
ENSG00000199450	RNA5SP276		1
ENSG00000100473	COCH	1690	11
ENSG00000213203	GIMAP1	170575	2
ENSG00000101846	STS	412	6
ENSG00000221793	AC103863.1		1
ENSG00000213916	RPL13P		2
ENSG00000270103	RNU11	26824	2
ENSG00000264483	MIR5008	100847072	1
ENSG00000198169	ZNF251	90987	4
ENSG00000264815	AF130343.1		1
ENSG00000200153	RNU6-23P	100873755	1
ENSG00000253672	RP11-536K17.1		1
ENSG00000164123	C4orf45	152940	6
ENSG00000221514	SNORD111B	100113402	1
ENSG00000233003	CICP26		3
ENSG00000273330	CYP4F36P		1
ENSG00000250409	CTB-3M24.3		1
ENSG00000252777	SCARNA24		1
ENSG00000233366	ZNF90P2		1
ENSG00000221066	SNORD111	692214	1
ENSG00000226852	RP1-212P9.2		2
ENSG00000253327	RAD21-AS1	100500914	2
ENSG00000253327	RAD21-AS1	644660	2
ENSG00000227241	AC011998.4		1
ENSG00000221287	MIR1289-2	100302134	1
ENSG00000260023	RP11-49C24.1		1
ENSG00000225148	RP5-899B16.2		1
ENSG00000263545	AC005195.1		1
ENSG00000260156	RP11-394B2.6		1
ENSG00000233427	RP1-212P9.3		1
ENSG00000234234	RP11-3N2.7		1
ENSG00000257634	RP11-850F7.7		1
ENSG00000264875	MIR3610	100500914	1
ENSG00000251243	AC005178.1		1
ENSG00000223096	RNU5E-9P		1
ENSG00000224157	HCG14	414760	1
ENSG00000142798	HSPG2	3339	12
ENSG00000228371	ZDHHC20P1		1
ENSG00000236013	RP3-332B22.1		1
ENSG00000240520	UOX	391051	1
ENSG00000244226	ILF2P1		1
ENSG00000244033	RN7SL228P		2
ENSG00000229727	AC013460.1	100506274	2
ENSG00000260931	RP11-65L3.1		1
ENSG00000214353	VAC14-AS1	100130894	3
ENSG00000185507	IRF7	3665	15
ENSG00000230446	RP11-423O2.3		1
ENSG00000185664	PMEL	6490	10
ENSG00000264944	MIR3620	100500810	1
ENSG00000148450	MSRB2	22921	8
ENSG00000199756	Y_RNA		1
ENSG00000238796	snoU13		1
ENSG00000253271	RP11-1059L18.1		2
ENSG00000261541	RP11-626K17.3		1
ENSG00000199094	MIR30C2	407032	1
ENSG00000224921	HCG4P11		1
ENSG00000249073	CTD-2131I18.1		1
ENSG00000225616	RP4-604A21.1		2
ENSG00000267218	AC005336.5		2
ENSG00000224566	FAM96AP2		2
ENSG00000146232	NFKBIE	4794	10
ENSG00000234700	RP11-3N2.5		1
ENSG00000207827	MIR30A	407029	1
ENSG00000212240	RNU6-930P		1
ENSG00000223409	RPL17P17		1
ENSG00000138801	PAPSS1	9061	4
ENSG00000228666	KRT18P1		1
ENSG00000272610	MAGI1-IT1	151877	1
ENSG00000223765	RP1-288M22.2		2
ENSG00000271737	CTB-113I20.2		1
ENSG00000176788	BASP1	10409	7
ENSG00000253622	RP11-654G14.1		1
ENSG00000206508	DAQB-335A13.26		5
ENSG00000236055	RP11-423O2.2		1
ENSG00000227625	RP11-520H14.1		2
ENSG00000206704	Y_RNA		1
ENSG00000240175	MAGI1-AS1	100873983	1
ENSG00000269707	RP11-13J10.1		1
ENSG00000212099	AL035467.1		1
ENSG00000240151	RN7SL826P		2
ENSG00000225750	RP11-242O24.3		1
ENSG00000166471	TMEM41B	440026	6
ENSG00000271128	CTB-113I20.1		1
ENSG00000219575	RP1-288M22.1		1
ENSG00000252852	SNORA31		1
ENSG00000014914	MTMR11	10903	15
ENSG00000263426	RN7SL471P		1
ENSG00000223960	AC009948.5	101927027	2
ENSG00000239587	AC018730.4		1
ENSG00000267950	AC136297.1		1
ENSG00000239917	RPS10P16		3
ENSG00000269890	RP5-1139B12.2		1
ENSG00000218014	KRT19P1		1
ENSG00000227214	HCG15		2
ENSG00000227637	RP11-242O24.5		1
ENSG00000267056	AC005336.4		2
ENSG00000262890	RP11-424M24.5		1
ENSG00000115935	WIPF1	7456	12
ENSG00000237934	RP11-467D18.2		1
ENSG00000269934	RP5-1139B12.3		1
ENSG00000242206	RPS26P35		2
ENSG00000244349	HCG16	101929874	1
ENSG00000273345	CTD-2410N18.4		1
ENSG00000170927	PKHD1	5314	10
ENSG00000270110	RP5-1139B12.4		1
ENSG00000114113	RBP2	5948	2
ENSG00000230255	RP11-423O2.1		1
ENSG00000267392	CYP4F9P		3
ENSG00000223677	OR2AD1P		1
ENSG00000252107	RNA5SP220		1
ENSG00000221725	RNU6ATAC25P		1
ENSG00000118579	MED28	80306	7
ENSG00000211530	AL354933.1		1
ENSG00000207334	RNU6-12P		1
ENSG00000263514	MIR3668	100500879	1
ENSG00000251700	SNORD112		1
ENSG00000270104	RP11-245P10.6		1
ENSG00000202069	RNU4-66P		1
ENSG00000236909	OR2P1P		1
ENSG00000254247	RP11-278I4.1		1
ENSG00000223316	AC027281.1		1
ENSG00000221550	AL645859.1		1
ENSG00000264447	AL445256.1		1
ENSG00000221336	AL356137.1		1
ENSG00000270094	RP11-245P10.8		1
ENSG00000229683	ASNSP5		1
ENSG00000201968	RNA5SP138		1
ENSG00000264390	MIR4465	100616180	1
ENSG00000218732	RP5-1046G13.2		1
ENSG00000230523	RP3-437I16.1	101928460	1
ENSG00000270858	VDAC1P5		1
ENSG00000259833	RP11-23E19.1		1
ENSG00000254278	RP11-278I4.2	101927513	1
ENSG00000206342	STK19	8859	8
ENSG00000248557	RP11-390G14.1		1
ENSG00000228364	SAR1P1		1
ENSG00000217684	RPS3AP24		2
ENSG00000231563	RP11-245P10.4		1
ENSG00000255295	RP11-745I13.1		1
ENSG00000272578	AP000347.2		1
ENSG00000266678	AL139151.1		1
ENSG00000257870	RP11-616L12.1		1
ENSG00000259798	RP11-23E19.2		1
ENSG00000250523	RP11-756P10.1		1
ENSG00000217483	RP11-135M8__A.1		1
ENSG00000234978	RP11-423O2.5		1
ENSG00000225011	RP11-810H18.1		4
ENSG00000227206	XXbac-BCX196D17.5		1
ENSG00000230841	RP5-915N17.3		2
ENSG00000238082	AC009948.7		1
ENSG00000255429	RP11-643G5.6		1
ENSG00000196534	OR9K1P		3
ENSG00000261260	CTD-2520I13.1		1
ENSG00000252275	RNU7-192P		1
ENSG00000229743	LINC01159		2
ENSG00000090659	CD209	30835	13
ENSG00000198284	NUP210P1	255330	5
ENSG00000147676	MAL2	114569	9
ENSG00000203492	OR2N1P		3
ENSG00000181514	RP3-474G15.1		6
ENSG00000180015	RP11-756P10.3		11
ENSG00000233844	KCNQ5-IT1	100507381	1
ENSG00000257350	RP11-616L12.4		1
ENSG00000100095	SEZ6L	23544	14
ENSG00000250437	RP11-116A1.1		1
ENSG00000232745	ANKRD20A14P		2
ENSG00000239784	RPL23AP1		1
ENSG00000221126	AC092265.1		1
ENSG00000221237	AC106736.1		1
ENSG00000228354	RP11-552J9.9		1
ENSG00000228176	RP4-656G21.1		1
ENSG00000261348	RP11-510M2.1		1
ENSG00000266180	MIR4282	100423005	1
ENSG00000249269	RP11-756P10.4		1
ENSG00000224509	AC010884.1		1
ENSG00000234147	RP3-460G2.2		1
ENSG00000143842	SOX13	9580	10
ENSG00000266174	MIR4666A	100616308	1
ENSG00000224233	OR2J4P		1
ENSG00000214942	AC113167.1		4
ENSG00000216548	RP11-471B18.1		2
ENSG00000222787	AL645944.1		1
ENSG00000181201	HIST3H2BA		2
ENSG00000262120	RP11-510M2.7		1
ENSG00000266751	MIR3661	100500905	1
ENSG00000232422	KNOP1P4		1
ENSG00000251197	MICE		1
ENSG00000270927	RP11-179G8.1		1
ENSG00000263685	AC010884.2		1
ENSG00000231182	RP11-423O2.7		2
ENSG00000222608	RNA5SP504		1
ENSG00000230598	OR2H4P		1
ENSG00000122432	SPATA1		12
ENSG00000090402	SI	6476	3
ENSG00000225508	SSXP5		1
ENSG00000231851	AC104655.2	101927492	1
ENSG00000259828	RP11-63E9.1		1
ENSG00000215811	BTNL10		3
ENSG00000265324	AC005020.1		1
ENSG00000205494	OR52A4		5
ENSG00000222764	RN7SKP106		1
ENSG00000220515	PGAM1P10		2
ENSG00000232505	XXbac-BPG308J9.3	101929006	2
ENSG00000249265	AC113167.2		1
ENSG00000109756	RAPGEF2	9693	4
ENSG00000134612	FOLH1B		7
ENSG00000232274	RP11-782C8.2		2
ENSG00000182583	VCX	26609	8
ENSG00000264342	MIR3660	100500825	1
ENSG00000218351	RPS3AP23		2
ENSG00000233399	RP11-111I12.1	101929406	2
ENSG00000260734	RP11-510M2.4		3
ENSG00000244219	GS1-259H13.2		2
ENSG00000229154	KCNQ5-AS1	100873997	1
ENSG00000213911	OR2G1P		2
ENSG00000169126	ARMC4	55130	11
ENSG00000270041	LL22NC03-N27C7.1		1
ENSG00000176752	OR51A1P		6
ENSG00000237275	RP11-552J9.11		1
ENSG00000272973	KB-1125A3.11		1
ENSG00000204697	OR2U1P		3
ENSG00000233372	RP5-893G23.1		1
ENSG00000234025	RP11-257K9.3		1
ENSG00000270177	CTD-2410N18.3		1
ENSG00000236251	HSPA1L	3305	6
ENSG00000253972	RP11-4K16.2		1
ENSG00000223958	RP11-552J9.12		1
ENSG00000231251	RP3-357I16.1		1
ENSG00000244425	RN7SL268P		2
ENSG00000239615	CTD-2410N18.1		1
ENSG00000236335	RP4-591L5.1		1
ENSG00000273295	AP000350.5		1
ENSG00000251619	RP11-756P10.5		1
ENSG00000248559	RP11-215P8.3		1
ENSG00000139540	SLC39A5	283375	7
ENSG00000237298	TTN-AS1	100506866	4
ENSG00000248555	RP11-61G23.1	101929495	2
ENSG00000176748	OR52Z1		4
ENSG00000196329	GIMAP5	100527949	6
ENSG00000196329	GIMAP5	55340	6
ENSG00000225282	AP000350.6		1
ENSG00000231949	RP4-591L5.2		1
ENSG00000243648	RP11-215P8.1		1
ENSG00000250626	RP11-756P10.2	101930449	2
ENSG00000250626	RP11-756P10.2	101930028	2
ENSG00000251360	KHDC1P1		2
ENSG00000242524	OR2U2P		1
ENSG00000202056	RNA5SP19		1
ENSG00000199352	RNA5S1	100169768	1
ENSG00000199352	RNA5S1	100169767	1
ENSG00000199352	RNA5S1	100169766	1
ENSG00000199352	RNA5S1	100169765	1
ENSG00000199352	RNA5S1	100169763	1
ENSG00000199352	RNA5S1	100169764	1
ENSG00000199352	RNA5S1	100169762	1
ENSG00000199352	RNA5S1	100169761	1
ENSG00000199352	RNA5S1	100169759	1
ENSG00000199352	RNA5S1	100169758	1
ENSG00000199352	RNA5S1	100169756	1
ENSG00000199352	RNA5S1	100169757	1
ENSG00000199352	RNA5S1	100169755	1
ENSG00000199352	RNA5S1	100169754	1
ENSG00000199352	RNA5S1	100169753	1
ENSG00000199352	RNA5S1	100169751	1
ENSG00000236780	AC078941.1	644838	1
ENSG00000226508	AC104655.3		1
ENSG00000205396	LINC00661	126536	7
ENSG00000206090	AP000350.7		4
ENSG00000271875	RP11-430N14.4		1
ENSG00000082516	GEMIN5	25929	8
ENSG00000197171	OR2B4P		5
ENSG00000201588	RNA5S2	100169768	1
ENSG00000201588	RNA5S2	100169767	1
ENSG00000201588	RNA5S2	100169766	1
ENSG00000201588	RNA5S2	100169765	1
ENSG00000201588	RNA5S2	100169763	1
ENSG00000201588	RNA5S2	100169764	1
ENSG00000201588	RNA5S2	100169762	1
ENSG00000201588	RNA5S2	100169761	1
ENSG00000201588	RNA5S2	100169759	1
ENSG00000201588	RNA5S2	100169758	1
ENSG00000201588	RNA5S2	100169756	1
ENSG00000201588	RNA5S2	100169757	1
ENSG00000201588	RNA5S2	100169755	1
ENSG00000201588	RNA5S2	100169754	1
ENSG00000201588	RNA5S2	100169753	1
ENSG00000201588	RNA5S2	100169751	1
ENSG00000136830	FAM129B	64855	7
ENSG00000250024	RP11-818C3.1		1
ENSG00000270983	RP11-137J7.3		1
ENSG00000248118	LINC01019	285577	1
ENSG00000224091	AC104389.16		1
ENSG00000186056	MATN1-AS1	100129196	5
ENSG00000231271	AP000350.8		1
ENSG00000251310	RP11-706F1.1		1
ENSG00000199337	RNA5S3	100169768	1
ENSG00000199337	RNA5S3	100169767	1
ENSG00000199337	RNA5S3	100169766	1
ENSG00000199337	RNA5S3	100169765	1
ENSG00000199337	RNA5S3	100169763	1
ENSG00000199337	RNA5S3	100169764	1
ENSG00000199337	RNA5S3	100169762	1
ENSG00000199337	RNA5S3	100169761	1
ENSG00000199337	RNA5S3	100169759	1
ENSG00000199337	RNA5S3	100169758	1
ENSG00000199337	RNA5S3	100169756	1
ENSG00000199337	RNA5S3	100169757	1
ENSG00000199337	RNA5S3	100169755	1
ENSG00000199337	RNA5S3	100169754	1
ENSG00000199337	RNA5S3	100169753	1
ENSG00000199337	RNA5S3	100169751	1
ENSG00000262008	RP11-510M2.8		1
ENSG00000221031	CoTC_ribozyme		1
ENSG00000263378	AC019205.1		1
ENSG00000249877	RP11-706F1.2		1
ENSG00000206776	SNORA32		1
ENSG00000201843	Y_RNA		1
ENSG00000197375	SLC22A5	6584	8
ENSG00000236822	RP11-137J7.2		1
ENSG00000230850	RP11-782C8.1		3
ENSG00000225190	PLEKHM1	9842	4
ENSG00000253398	RP11-775B15.2		1
ENSG00000047662	FAM184B	27146	4
ENSG00000228039	KB-1125A3.10		2
ENSG00000200381	RNA5S4	100169768	1
ENSG00000200381	RNA5S4	100169767	1
ENSG00000200381	RNA5S4	100169766	1
ENSG00000200381	RNA5S4	100169765	1
ENSG00000200381	RNA5S4	100169763	1
ENSG00000200381	RNA5S4	100169764	1
ENSG00000200381	RNA5S4	100169762	1
ENSG00000200381	RNA5S4	100169761	1
ENSG00000200381	RNA5S4	100169759	1
ENSG00000200381	RNA5S4	100169758	1
ENSG00000200381	RNA5S4	100169756	1
ENSG00000200381	RNA5S4	100169757	1
ENSG00000200381	RNA5S4	100169755	1
ENSG00000200381	RNA5S4	100169754	1
ENSG00000200381	RNA5S4	100169753	1
ENSG00000200381	RNA5S4	100169751	1
ENSG00000236619	HCG9P5		1
ENSG00000229988	HBBP1	3044	1
ENSG00000237494	RP11-753B14.1		1
ENSG00000229852	RP11-398K22.12		2
ENSG00000230056	DDX6P1		1
ENSG00000204031	LCN1P2		3
ENSG00000250564	RP11-215P8.4	102546229	1
ENSG00000254037	RP11-775B15.3		2
ENSG00000199396	RNA5S5	100169768	1
ENSG00000199396	RNA5S5	100169767	1
ENSG00000199396	RNA5S5	100169766	1
ENSG00000199396	RNA5S5	100169765	1
ENSG00000199396	RNA5S5	100169763	1
ENSG00000199396	RNA5S5	100169764	1
ENSG00000199396	RNA5S5	100169762	1
ENSG00000199396	RNA5S5	100169761	1
ENSG00000199396	RNA5S5	100169759	1
ENSG00000199396	RNA5S5	100169758	1
ENSG00000199396	RNA5S5	100169756	1
ENSG00000199396	RNA5S5	100169757	1
ENSG00000199396	RNA5S5	100169755	1
ENSG00000199396	RNA5S5	100169754	1
ENSG00000199396	RNA5S5	100169753	1
ENSG00000199396	RNA5S5	100169751	1
ENSG00000247324	RP11-510M2.2		2
ENSG00000266843	AL360007.1		1
ENSG00000205100	HSP90AA4P		2
ENSG00000137038	TMEM261	90871	7
ENSG00000236366	RP11-440G9.1	153910	1
ENSG00000250994	AC005355.1		1
ENSG00000253495	RP11-99I9.2		1
ENSG00000225797	UBDP1		2
ENSG00000200624	RNA5S6	100169768	1
ENSG00000200624	RNA5S6	100169767	1
ENSG00000200624	RNA5S6	100169766	1
ENSG00000200624	RNA5S6	100169765	1
ENSG00000200624	RNA5S6	100169763	1
ENSG00000200624	RNA5S6	100169764	1
ENSG00000200624	RNA5S6	100169762	1
ENSG00000200624	RNA5S6	100169761	1
ENSG00000200624	RNA5S6	100169759	1
ENSG00000200624	RNA5S6	100169758	1
ENSG00000200624	RNA5S6	100169756	1
ENSG00000200624	RNA5S6	100169757	1
ENSG00000200624	RNA5S6	100169755	1
ENSG00000200624	RNA5S6	100169754	1
ENSG00000200624	RNA5S6	100169753	1
ENSG00000200624	RNA5S6	100169751	1
ENSG00000233138	RP1-67K17.3		1
ENSG00000159128	IFNGR2	3460	10
ENSG00000157778	PSMG3	84262	4
ENSG00000196378	ZNF34	80778	7
ENSG00000207222	RNU6-456P		1
ENSG00000201896	RN7SKP153		1
ENSG00000197284	RP11-589F5.3	101929812	4
ENSG00000197284	RP11-589F5.3	101929810	4
ENSG00000197284	RP11-589F5.3	101929599	4
ENSG00000197284	RP11-589F5.3	101060549	4
ENSG00000197284	RP11-589F5.3	101060368	4
ENSG00000197284	RP11-589F5.3	441081	4
ENSG00000202521	RNA5S7	100169768	1
ENSG00000202521	RNA5S7	100169767	1
ENSG00000202521	RNA5S7	100169766	1
ENSG00000202521	RNA5S7	100169765	1
ENSG00000202521	RNA5S7	100169763	1
ENSG00000202521	RNA5S7	100169764	1
ENSG00000202521	RNA5S7	100169762	1
ENSG00000202521	RNA5S7	100169761	1
ENSG00000202521	RNA5S7	100169759	1
ENSG00000202521	RNA5S7	100169758	1
ENSG00000202521	RNA5S7	100169756	1
ENSG00000202521	RNA5S7	100169757	1
ENSG00000202521	RNA5S7	100169755	1
ENSG00000202521	RNA5S7	100169754	1
ENSG00000202521	RNA5S7	100169753	1
ENSG00000202521	RNA5S7	100169751	1
ENSG00000239626	RPSAP41		1
ENSG00000265105	Y_RNA		1
ENSG00000244642	RN7SL396P		2
ENSG00000251169	AC005355.2	101927934	2
ENSG00000145526	CDH18	1016	7
ENSG00000237851	RP1-67K17.4		1
ENSG00000006757	PNPLA4	8228	7
ENSG00000254335	CDH12P1		1
ENSG00000186198	SLC51B	123264	3
ENSG00000237724	HSPA1A	3304	5
ENSG00000237724	HSPA1A	3303	5
ENSG00000249830	RP11-121L11.3		1
ENSG00000230164	MAS1LP1		1
ENSG00000230722	IFITM4P	340198	1
ENSG00000264773	MIR4420	100616164	1
ENSG00000245330	KB-1471A8.1		4
ENSG00000200343	RNA5S8	100169768	1
ENSG00000200343	RNA5S8	100169767	1
ENSG00000200343	RNA5S8	100169766	1
ENSG00000200343	RNA5S8	100169765	1
ENSG00000200343	RNA5S8	100169763	1
ENSG00000200343	RNA5S8	100169764	1
ENSG00000200343	RNA5S8	100169762	1
ENSG00000200343	RNA5S8	100169761	1
ENSG00000200343	RNA5S8	100169759	1
ENSG00000200343	RNA5S8	100169758	1
ENSG00000200343	RNA5S8	100169756	1
ENSG00000200343	RNA5S8	100169757	1
ENSG00000200343	RNA5S8	100169755	1
ENSG00000200343	RNA5S8	100169754	1
ENSG00000200343	RNA5S8	100169753	1
ENSG00000200343	RNA5S8	100169751	1
ENSG00000224460	RP11-439L18.2		1
ENSG00000201451	Y_RNA		1
ENSG00000237291	RP11-782C8.4		2
ENSG00000213900	RPS17P1		2
ENSG00000236605	AC023115.4		1
ENSG00000272861	RP11-332H14.1		1
ENSG00000229607	RP5-1125N11.1		1
ENSG00000265661	MIR3118-2	100422949	1
ENSG00000232618	RP11-439L18.1		1
ENSG00000201321	RNA5S9	100169760	1
ENSG00000230064	RP11-244N20.7		1
ENSG00000232336	RP11-782C8.3		1
ENSG00000254353	RP11-195E2.4		1
ENSG00000240250	RN7SL541P		2
ENSG00000199910	RNA5S10	100169768	1
ENSG00000199910	RNA5S10	100169767	1
ENSG00000199910	RNA5S10	100169766	1
ENSG00000199910	RNA5S10	100169765	1
ENSG00000199910	RNA5S10	100169763	1
ENSG00000199910	RNA5S10	100169764	1
ENSG00000199910	RNA5S10	100169762	1
ENSG00000199910	RNA5S10	100169761	1
ENSG00000199910	RNA5S10	100169759	1
ENSG00000199910	RNA5S10	100169758	1
ENSG00000199910	RNA5S10	100169756	1
ENSG00000199910	RNA5S10	100169757	1
ENSG00000199910	RNA5S10	100169755	1
ENSG00000199910	RNA5S10	100169754	1
ENSG00000199910	RNA5S10	100169753	1
ENSG00000199910	RNA5S10	100169751	1
ENSG00000202356	RNA5SP277		1
ENSG00000260520	RP11-510M2.6		1
ENSG00000234882	EIF3EP1		1
ENSG00000146122	DAAM2	23500	12
ENSG00000250739	RP11-462G22.1	101928971	1
ENSG00000229274	XXbac-BPG13B8.10		1
ENSG00000223382	RP1-65J11.1		3
ENSG00000235319	AC012360.4		1
ENSG00000221376	SNORA77		1
ENSG00000229017	RP11-439L18.3	100507489	2
ENSG00000226279	AC005682.7		2
ENSG00000254343	RP11-760H22.2		2
ENSG00000260629	CTD-2643I7.1		1
ENSG00000250716	RP11-121L11.2	102467075	1
ENSG00000223389	SDCBP2P1		1
ENSG00000224173	AC007422.1		1
ENSG00000199334	RNA5S11	100169768	1
ENSG00000199334	RNA5S11	100169767	1
ENSG00000199334	RNA5S11	100169766	1
ENSG00000199334	RNA5S11	100169765	1
ENSG00000199334	RNA5S11	100169763	1
ENSG00000199334	RNA5S11	100169764	1
ENSG00000199334	RNA5S11	100169762	1
ENSG00000199334	RNA5S11	100169761	1
ENSG00000199334	RNA5S11	100169759	1
ENSG00000199334	RNA5S11	100169758	1
ENSG00000199334	RNA5S11	100169756	1
ENSG00000199334	RNA5S11	100169757	1
ENSG00000199334	RNA5S11	100169755	1
ENSG00000199334	RNA5S11	100169754	1
ENSG00000199334	RNA5S11	100169753	1
ENSG00000199334	RNA5S11	100169751	1
ENSG00000252972	RNA5SP398		1
ENSG00000260015	RP11-510M2.5		1
ENSG00000226840	PAICSP3		1
ENSG00000259645	RP11-253M7.6		1
ENSG00000229604	MTATP8P2		2
ENSG00000207459	RNU6-1311P		1
ENSG00000199270	RNA5S12	100169768	1
ENSG00000199270	RNA5S12	100169767	1
ENSG00000199270	RNA5S12	100169766	1
ENSG00000199270	RNA5S12	100169765	1
ENSG00000199270	RNA5S12	100169763	1
ENSG00000199270	RNA5S12	100169764	1
ENSG00000199270	RNA5S12	100169762	1
ENSG00000199270	RNA5S12	100169761	1
ENSG00000199270	RNA5S12	100169759	1
ENSG00000199270	RNA5S12	100169758	1
ENSG00000199270	RNA5S12	100169756	1
ENSG00000199270	RNA5S12	100169757	1
ENSG00000199270	RNA5S12	100169755	1
ENSG00000199270	RNA5S12	100169754	1
ENSG00000199270	RNA5S12	100169753	1
ENSG00000199270	RNA5S12	100169751	1
ENSG00000252339	RNU6-1061P		1
ENSG00000224582	LINC01015	100507362	1
ENSG00000197866	OR5M12P		2
ENSG00000227145	IL21-AS1	100996941	1
ENSG00000224448	GS1-259H13.7		1
ENSG00000201298	RNU6-1164P		1
ENSG00000227192	RP1-45I4.3		1
ENSG00000250290	CTC-820M8.1		1
ENSG00000260886	RP11-432I5.1	100132529	1
ENSG00000206611	SNORD24	26820	1
ENSG00000222266	RNU6-757P		1
ENSG00000202526	RNA5S13	100169768	1
ENSG00000202526	RNA5S13	100169767	1
ENSG00000202526	RNA5S13	100169766	1
ENSG00000202526	RNA5S13	100169765	1
ENSG00000202526	RNA5S13	100169763	1
ENSG00000202526	RNA5S13	100169764	1
ENSG00000202526	RNA5S13	100169762	1
ENSG00000202526	RNA5S13	100169761	1
ENSG00000202526	RNA5S13	100169759	1
ENSG00000202526	RNA5S13	100169758	1
ENSG00000202526	RNA5S13	100169756	1
ENSG00000202526	RNA5S13	100169757	1
ENSG00000202526	RNA5S13	100169755	1
ENSG00000202526	RNA5S13	100169754	1
ENSG00000202526	RNA5S13	100169753	1
ENSG00000202526	RNA5S13	100169751	1
ENSG00000225278	RP11-782C8.5	101930284	3
ENSG00000248850	RP11-605F14.2		1
ENSG00000259426	RP11-253M7.1		1
ENSG00000120805	ARL1	400	9
ENSG00000225752	RP1-45I4.2		1
ENSG00000259603	CTD-2012M11.3		1
ENSG00000243058	RPL39P33		1
ENSG00000241179	CTB-2L9.1		1
ENSG00000222784	RN7SKP91		1
ENSG00000248318	RP11-713M15.1	101927543	1
ENSG00000206444	HLA-V		5
ENSG00000201355	RNA5S14	100169768	1
ENSG00000201355	RNA5S14	100169767	1
ENSG00000201355	RNA5S14	100169766	1
ENSG00000201355	RNA5S14	100169765	1
ENSG00000201355	RNA5S14	100169763	1
ENSG00000201355	RNA5S14	100169764	1
ENSG00000201355	RNA5S14	100169762	1
ENSG00000201355	RNA5S14	100169761	1
ENSG00000201355	RNA5S14	100169759	1
ENSG00000201355	RNA5S14	100169758	1
