Gene ID	Associated Gene Name	EntrezGene ID	Version (gene)
ENSG00000235115	CHCHD2P8		2
ENSG00000234354	RPS26P47		2
ENSG00000261485	PAN3-AS1	100288730	1
ENSG00000237082	COX5BP6		1
ENSG00000232587	EEF1A1P3		1
ENSG00000200840	RNU6-82P	100873781	1
ENSG00000233009	NALCN-AS1	100885778	1
ENSG00000235472	EIF4A1P7		1
ENSG00000202237	RNU6-53P	100873762	1
ENSG00000214051	ARF4P3		3
ENSG00000233588	CYP51A1P2		1
ENSG00000229599	LINC00411		1
ENSG00000236339	POM121L13P		1
ENSG00000272349	RP11-397O8.7		1
ENSG00000221670	AL596092.1		1
ENSG00000201155	RNU1-24P		1
ENSG00000236758	MTUS2-AS2		1
ENSG00000215399	HMGB3P7		2
ENSG00000265164	MIR2681	100616110	1
ENSG00000223460	GAPDHP69		1
ENSG00000229975	LIPT1P1		1
ENSG00000270680	RP11-351N4.4		1
ENSG00000201690	RNY1P2		1
ENSG00000179141	MTUS2-AS1	100874107	5
ENSG00000264482	MIR4705	100616239	1
ENSG00000236860	RPL39P29		1
ENSG00000236258	TIMM8BP1		1
ENSG00000224329	LINC00297	100874059	2
ENSG00000243319	FGF14-IT1	283480	3
ENSG00000224405	LINC00572	100861573	1
ENSG00000234445	FGF14-AS1	100874081	1
ENSG00000122043	LINC00544	440131	6
ENSG00000272143	FGF14-AS2	283481	1
ENSG00000266505	RP11-629E24.2		1
ENSG00000270581	RP11-811P12.3		1
ENSG00000261057	LINC00555		1
ENSG00000224511	LINC00365		1
ENSG00000269942	RP11-29B2.5		1
ENSG00000232117	LINC00384	101928980	1
ENSG00000238869	snoU13		1
ENSG00000231633	LINC00283		1
ENSG00000232643	LINC00385		1
ENSG00000222301	RNY5P8		1
ENSG00000266816	AL356750.1		1
ENSG00000252928	RNU6-64P	100873769	1
ENSG00000250878	METTL21EP	121952	3
ENSG00000215049	PRDX2P1		3
ENSG00000272542	RP11-255P5.2		1
ENSG00000236463	LINC00427	100507040	1
ENSG00000234551	RP11-123H22.1	101930454	1
ENSG00000230474	ATP6V1G1P7		1
ENSG00000225823	RPL7P45		1
ENSG00000232307	DAOA-AS1	282706	1
ENSG00000238121	LINC00426	100188949	1
ENSG00000226620	LINC00343	144920	3
ENSG00000225039	LINC01058		1
ENSG00000261577	JUP	3728	1
ENSG00000252550	SNORA25		1
ENSG00000236444	UBE2L5P		2
ENSG00000222643	AL603632.1		1
ENSG00000222682	RNA5SP38		1
ENSG00000213411	RBM22P2		2
ENSG00000233532	LINC00460	728192	1
ENSG00000232489	MFAP1P1		1
ENSG00000174418	RPL35P9		7
ENSG00000224117	PTPN2P2		1
ENSG00000272274	LINC00551	283483	1
ENSG00000230156	LINC00443	100874173	2
ENSG00000237879	LINC00398	100874158	1
ENSG00000227590	ATP5G1P5		1
ENSG00000174408	PPIAP24		8
ENSG00000224743	TEX26-AS1	100507064	2
ENSG00000196777	AL162574.1		1
ENSG00000239050	AL354741.1		1
ENSG00000221316	AL445204.1		1
ENSG00000201847	SNORD31		1
ENSG00000221650	MIR1267	100302286	1
ENSG00000221473	AL138710.1		2
ENSG00000227248	FAM155A-IT1	100874375	1
ENSG00000223177	RNA5SP39		1
ENSG00000232087	HCFC2P1		1
ENSG00000229938	MYO16-AS2		1
ENSG00000236094	LINC00545	440132	1
ENSG00000236242	MYO16-AS1	100885782	1
