EntrezGene ID	RefSeq mRNA [e.g. NM_001195597]	RefSeq ncRNA [e.g. NR_002834]	Ensembl Gene ID
100041593			ENSMUSG00000094121
100042493			ENSMUSG00000094121
100504239			ENSMUSG00000094121
100504346			ENSMUSG00000094121
100862177			ENSMUSG00000094121
239126	NM_183175		ENSMUSG00000071347
69454			ENSMUSG00000015093
69454			ENSMUSG00000015093
69454			ENSMUSG00000015093
69454			ENSMUSG00000015093
69454			ENSMUSG00000015093
69454	NM_027085		ENSMUSG00000015093
			ENSMUSG00000098702
			ENSMUSG00000098702
		NR_029432	ENSMUSG00000098702
320707			ENSMUSG00000031376
320707	NM_177236		ENSMUSG00000031376
320707			ENSMUSG00000031376
71690	NM_023612		ENSMUSG00000042379
212190			ENSMUSG00000043621
212190			ENSMUSG00000043621
212190			ENSMUSG00000043621
212190	NM_178671		ENSMUSG00000043621
212190			ENSMUSG00000043621
101148	NM_175312		ENSMUSG00000042742
12805	NM_001159648		ENSMUSG00000055022
12805	NM_001159647		ENSMUSG00000055022
12805	NM_007727		ENSMUSG00000055022
12805			ENSMUSG00000055022
			ENSMUSG00000081575
			ENSMUSG00000097980
			ENSMUSG00000086707
101055653			ENSMUSG00000094576
101056212			ENSMUSG00000094576
			ENSMUSG00000085893
			ENSMUSG00000086128
			ENSMUSG00000086128
			ENSMUSG00000086128
		NR_045366	ENSMUSG00000086128
			ENSMUSG00000093972
			ENSMUSG00000084850
			ENSMUSG00000096416
14202	NM_010214		ENSMUSG00000050035
			ENSMUSG00000083917
			ENSMUSG00000060096
			ENSMUSG00000080851
			ENSMUSG00000080906
236749			ENSMUSG00000068113
236749	NM_001034864		ENSMUSG00000068113
			ENSMUSG00000085055
			ENSMUSG00000085055
13992	NM_010158		ENSMUSG00000022332
64450			ENSMUSG00000048216
64450			ENSMUSG00000048216
64450			ENSMUSG00000048216
64450	NM_145066		ENSMUSG00000048216
68337	NM_024223		ENSMUSG00000006356
116940			ENSMUSG00000028233
116940			ENSMUSG00000028233
116940			ENSMUSG00000028233
116940			ENSMUSG00000028233
116940	NM_054089		ENSMUSG00000028233
			ENSMUSG00000090102
545611			ENSMUSG00000079774
100043920			ENSMUSG00000079774
100862043			ENSMUSG00000079774
100862261			ENSMUSG00000079774
100862324			ENSMUSG00000079774
			ENSMUSG00000046415
			ENSMUSG00000046415
			ENSMUSG00000046415
			ENSMUSG00000046415
		NR_033214	ENSMUSG00000046415
69464	NM_027087		ENSMUSG00000048294
621580	NM_001270431		ENSMUSG00000079773
100041579	NM_001270431		ENSMUSG00000079773
100862247	NM_001270431		ENSMUSG00000079773
58807	NM_021471		ENSMUSG00000030235
58807	NM_001177772		ENSMUSG00000030235
58807			ENSMUSG00000030235
			ENSMUSG00000073073
64707			ENSMUSG00000026646
64707			ENSMUSG00000026646
64707			ENSMUSG00000026646
64707	NM_022724		ENSMUSG00000026646
			ENSMUSG00000081712
			ENSMUSG00000098060
65956	NM_023052		ENSMUSG00000096271
100041504	NM_023052		ENSMUSG00000096271
100041593	NM_023052		ENSMUSG00000096271
100042493	NM_023052		ENSMUSG00000096271
100504239	NM_023052		ENSMUSG00000096271
100504346	NM_023052		ENSMUSG00000096271
100862177	NM_023052		ENSMUSG00000096271
			ENSMUSG00000071456
			ENSMUSG00000071456
			ENSMUSG00000071456
			ENSMUSG00000071456
			ENSMUSG00000084948
			ENSMUSG00000084948
75590	NM_029352		ENSMUSG00000031383
			ENSMUSG00000079764
			ENSMUSG00000086824
75426			ENSMUSG00000035551
75426	NM_018741		ENSMUSG00000035551
			ENSMUSG00000083199
		NR_045390	ENSMUSG00000090263
			ENSMUSG00000090828
			ENSMUSG00000090828
			ENSMUSG00000090828
		NR_035433	ENSMUSG00000090828
		NR_035433	ENSMUSG00000090828
		NR_035433	ENSMUSG00000090828
		NR_035433	ENSMUSG00000090828
		NR_035433	ENSMUSG00000090828
			ENSMUSG00000090828
			ENSMUSG00000090828
		NR_015580	ENSMUSG00000090828
		NR_035433	ENSMUSG00000090828
		NR_035433	ENSMUSG00000090828
			ENSMUSG00000090828
			ENSMUSG00000090828
			ENSMUSG00000090828
			ENSMUSG00000090828
101055997			ENSMUSG00000021763
101055997			ENSMUSG00000021763
101055997			ENSMUSG00000021763
			ENSMUSG00000079871
			ENSMUSG00000079871
			ENSMUSG00000094836
			ENSMUSG00000095419
670496	NM_001100614		ENSMUSG00000078258
			ENSMUSG00000086473
57441			ENSMUSG00000006715
57441			ENSMUSG00000006715
57441			ENSMUSG00000006715
57441	NM_020567		ENSMUSG00000006715
57441			ENSMUSG00000006715
			ENSMUSG00000085891
		NR_045852	ENSMUSG00000085891
			ENSMUSG00000086333
		NR_045368	ENSMUSG00000086333
100502865	NM_001195383		ENSMUSG00000078257
			ENSMUSG00000094153
			ENSMUSG00000083760
624698			ENSMUSG00000094383
625240			ENSMUSG00000094383
666133			ENSMUSG00000094383
666169			ENSMUSG00000094383
100861624			ENSMUSG00000094383
71643	NM_197997		ENSMUSG00000051278
			ENSMUSG00000092569
103266	NM_001013028		ENSMUSG00000060935
			ENSMUSG00000066116
			ENSMUSG00000083307
12925	NM_007763		ENSMUSG00000006360
			ENSMUSG00000097302
			ENSMUSG00000086524
78246			ENSMUSG00000018572
78246			ENSMUSG00000018572
78246			ENSMUSG00000018572
78246			ENSMUSG00000018572
78246			ENSMUSG00000018572
78246			ENSMUSG00000018572
78246			ENSMUSG00000018572
78246			ENSMUSG00000018572
78246	NM_030064		ENSMUSG00000018572
			ENSMUSG00000083751
18781	NM_008868		ENSMUSG00000028750
18781			ENSMUSG00000028750
18781			ENSMUSG00000028750
			ENSMUSG00000082784
74238	NM_028832		ENSMUSG00000049038
			ENSMUSG00000082078
100038995			ENSMUSG00000094474
100041179			ENSMUSG00000094474
100041253			ENSMUSG00000094474
100041712			ENSMUSG00000094474
100862245			ENSMUSG00000094474
			ENSMUSG00000084341
		NR_038158	ENSMUSG00000087424
			ENSMUSG00000087424
		NR_027978	ENSMUSG00000056682
			ENSMUSG00000081887
			ENSMUSG00000092249
			ENSMUSG00000073529
			ENSMUSG00000073529
			ENSMUSG00000094791
			ENSMUSG00000092196
			ENSMUSG00000083655
70478	NM_027436		ENSMUSG00000021993
			ENSMUSG00000092355
56700			ENSMUSG00000001418
56700			ENSMUSG00000001418
56700			ENSMUSG00000001418
56700			ENSMUSG00000001418
56700			ENSMUSG00000001418
56700			ENSMUSG00000001418
56700			ENSMUSG00000001418
56700			ENSMUSG00000001418
56700	NM_020003		ENSMUSG00000001418
			ENSMUSG00000052419
			ENSMUSG00000052419
			ENSMUSG00000092242
			ENSMUSG00000098165
12952	NM_007771		ENSMUSG00000020038
545762			ENSMUSG00000096550
70363	NM_177819		ENSMUSG00000036800
			ENSMUSG00000097713
104732	NM_134041		ENSMUSG00000037466
			ENSMUSG00000097593
			ENSMUSG00000085655
			ENSMUSG00000085655
73132			ENSMUSG00000071253
73132			ENSMUSG00000071253
73132			ENSMUSG00000071253
73132	NM_175194		ENSMUSG00000071253
50773			ENSMUSG00000020736
50773			ENSMUSG00000020736
50773			ENSMUSG00000020736
50773			ENSMUSG00000020736
50773	NM_015807		ENSMUSG00000020736
			ENSMUSG00000098880
620551			ENSMUSG00000094172
11924	NM_009718		ENSMUSG00000027967
			ENSMUSG00000098720
			ENSMUSG00000086392
		NR_029456	ENSMUSG00000086392
			ENSMUSG00000086392
			ENSMUSG00000097181
			ENSMUSG00000087474
15567			ENSMUSG00000020838
15567			ENSMUSG00000020838
15567	NM_010484		ENSMUSG00000020838
15567			ENSMUSG00000020838
			ENSMUSG00000084896
			ENSMUSG00000058625
100041806			ENSMUSG00000094887
			ENSMUSG00000083990
			ENSMUSG00000090026
			ENSMUSG00000061684
			ENSMUSG00000061684
		NR_040590	ENSMUSG00000085320
			ENSMUSG00000086986
