EntrezGene ID	RefSeq mRNA [e.g. NM_001195597]	RefSeq ncRNA [e.g. NR_002834]	Ensembl Gene ID
213783			ENSMUSG00000040624
213783			ENSMUSG00000040624
213783			ENSMUSG00000040624
213783	NM_001033253		ENSMUSG00000040624
11519	NM_001271858		ENSMUSG00000030000
11519	NM_001271859		ENSMUSG00000030000
11519	NM_001271857		ENSMUSG00000030000
11519	NM_013458		ENSMUSG00000030000
258270	NM_146273		ENSMUSG00000043119
			ENSMUSG00000049246
			ENSMUSG00000084829
			ENSMUSG00000084829
		NR_045898	ENSMUSG00000086569
			ENSMUSG00000086569
16873	NM_008499		ENSMUSG00000029595
76138	NM_001162956		ENSMUSG00000038010
258990	NM_146988		ENSMUSG00000045708
18223			ENSMUSG00000063160
18223	NM_010950		ENSMUSG00000063160
18223			ENSMUSG00000063160
18223			ENSMUSG00000063160
18223			ENSMUSG00000063160
68002	NM_026503		ENSMUSG00000026154
68002			ENSMUSG00000026154
381126	NM_001033445		ENSMUSG00000042680
			ENSMUSG00000084818
			ENSMUSG00000091587
258292	NM_146295		ENSMUSG00000073111
546071	NM_199308		ENSMUSG00000031833
			ENSMUSG00000091947
			ENSMUSG00000086613
			ENSMUSG00000096385
			ENSMUSG00000096385
			ENSMUSG00000096385
			ENSMUSG00000096385
74901	NM_029116		ENSMUSG00000055675
74901			ENSMUSG00000055675
74901			ENSMUSG00000055675
74901			ENSMUSG00000055675
			ENSMUSG00000090244
16009	NM_008343		ENSMUSG00000020427
16009			ENSMUSG00000020427
			ENSMUSG00000068014
13726	NM_007927		ENSMUSG00000001964
13726			ENSMUSG00000001964
13726			ENSMUSG00000001964
13726			ENSMUSG00000001964
13726			ENSMUSG00000001964
13726			ENSMUSG00000001964
193838			ENSMUSG00000073436
193838	NM_001163102		ENSMUSG00000073436
193838			ENSMUSG00000073436
193838			ENSMUSG00000073436
193838			ENSMUSG00000073436
193838			ENSMUSG00000073436
193838			ENSMUSG00000073436
193838			ENSMUSG00000073436
258650	NM_146656		ENSMUSG00000073110
		NR_040509	ENSMUSG00000086823
			ENSMUSG00000086823
			ENSMUSG00000086823
			ENSMUSG00000081180
66965	NM_153775		ENSMUSG00000049482
66965			ENSMUSG00000049482
66965			ENSMUSG00000049482
66965			ENSMUSG00000049482
66965			ENSMUSG00000049482
66965			ENSMUSG00000049482
66965			ENSMUSG00000049482
66965			ENSMUSG00000049482
66965			ENSMUSG00000049482
			ENSMUSG00000091008
			ENSMUSG00000081526
			ENSMUSG00000083846
13495			ENSMUSG00000020537
13495	NM_021354		ENSMUSG00000020537
13495			ENSMUSG00000020537
13495			ENSMUSG00000020537
13495			ENSMUSG00000020537
			ENSMUSG00000076500
244486	NM_175939		ENSMUSG00000046258
			ENSMUSG00000091386
			ENSMUSG00000085426
224826	NM_146078		ENSMUSG00000023977
224826	NM_001177374		ENSMUSG00000023977
20471			ENSMUSG00000051367
20471	NM_009189		ENSMUSG00000051367
20471			ENSMUSG00000051367
20471			ENSMUSG00000051367
100859931			ENSMUSG00000041716
258649	NM_146655		ENSMUSG00000094669
			ENSMUSG00000084969
			ENSMUSG00000087537
			ENSMUSG00000096985
23888	NM_001079844		ENSMUSG00000058571
23888	NM_011821		ENSMUSG00000058571
23888			ENSMUSG00000058571
23888			ENSMUSG00000058571
23888			ENSMUSG00000058571
73503	NM_028557		ENSMUSG00000038691
			ENSMUSG00000089806
225266			ENSMUSG00000042514
225266	NM_001081403		ENSMUSG00000042514
258648	NM_146654		ENSMUSG00000094200
			ENSMUSG00000092557
			ENSMUSG00000086474
			ENSMUSG00000086474
			ENSMUSG00000086474
			ENSMUSG00000086474
			ENSMUSG00000073415
258293	NM_146296		ENSMUSG00000071481
			ENSMUSG00000087100
			ENSMUSG00000083797
			ENSMUSG00000082327
			ENSMUSG00000087409
238690	NM_001001152		ENSMUSG00000055480
18310	NM_146652		ENSMUSG00000043605
			ENSMUSG00000092241
			ENSMUSG00000083529
			ENSMUSG00000083793
12411	NM_144855		ENSMUSG00000024039
12411	NM_001271353		ENSMUSG00000024039
12411	NM_178224		ENSMUSG00000024039
12411			ENSMUSG00000024039
12411			ENSMUSG00000024039
12411			ENSMUSG00000024039
12411			ENSMUSG00000024039
12411			ENSMUSG00000024039
12411			ENSMUSG00000024039
			ENSMUSG00000081320
			ENSMUSG00000049008
			ENSMUSG00000049008
			ENSMUSG00000049008
			ENSMUSG00000096519
			ENSMUSG00000085949
258647	NM_146653		ENSMUSG00000048693
			ENSMUSG00000085905
			ENSMUSG00000091061
101055868			ENSMUSG00000096158
431706	NM_001003666		ENSMUSG00000055341
			ENSMUSG00000092123
			ENSMUSG00000090936
320351	NM_177140		ENSMUSG00000046675
110304			ENSMUSG00000038257
110304	NM_080438		ENSMUSG00000038257
80915			ENSMUSG00000026659
80915			ENSMUSG00000026659
80915			ENSMUSG00000026659
80915	NM_023173		ENSMUSG00000026659
80915			ENSMUSG00000026659
80915			ENSMUSG00000026659
80915			ENSMUSG00000026659
16161	NM_008353		ENSMUSG00000000791
667034	NM_001123371		ENSMUSG00000068417
74843	NM_029104		ENSMUSG00000021815
258366	NM_146369		ENSMUSG00000059411
			ENSMUSG00000086076
			ENSMUSG00000032134
257635	NM_133902		ENSMUSG00000029596
257635			ENSMUSG00000029596
257635			ENSMUSG00000029596
66482			ENSMUSG00000021357
66482	NM_025588		ENSMUSG00000021357
100502831	NM_001205032		ENSMUSG00000095970
			ENSMUSG00000090628
			ENSMUSG00000091288
			ENSMUSG00000087633
			ENSMUSG00000069584
20848			ENSMUSG00000004040
20848	NM_011486		ENSMUSG00000004040
20848	NM_213660		ENSMUSG00000004040
20848	NM_213659		ENSMUSG00000004040
20848			ENSMUSG00000004040
20848			ENSMUSG00000004040
20848			ENSMUSG00000004040
20848			ENSMUSG00000004040
20848			ENSMUSG00000004040
20848			ENSMUSG00000004040
20848			ENSMUSG00000004040
20848			ENSMUSG00000004040
20848			ENSMUSG00000004040
20848			ENSMUSG00000004040
20848			ENSMUSG00000004040
20848			ENSMUSG00000004040
18346	NM_146370		ENSMUSG00000061210
			ENSMUSG00000091462
			ENSMUSG00000091462
19124	NM_011171		ENSMUSG00000027611
19124			ENSMUSG00000027611
19124			ENSMUSG00000027611
19124			ENSMUSG00000027611
223915	NM_212485		ENSMUSG00000063661
			ENSMUSG00000074564
			ENSMUSG00000081344
			ENSMUSG00000081344
			ENSMUSG00000086786
			ENSMUSG00000090449
			ENSMUSG00000081728
75019	NM_029145		ENSMUSG00000021872
75019	NM_001162863		ENSMUSG00000021872
			ENSMUSG00000082820
			ENSMUSG00000082820
			ENSMUSG00000098209
18322	NM_146606		ENSMUSG00000054141
223774			ENSMUSG00000035845
223774	NM_001142357		ENSMUSG00000035845
223774	NM_145477		ENSMUSG00000035845
223774			ENSMUSG00000035845
			ENSMUSG00000083275
			ENSMUSG00000091668
			ENSMUSG00000092444
			ENSMUSG00000092444
			ENSMUSG00000085962
			ENSMUSG00000085962
			ENSMUSG00000085962
			ENSMUSG00000080695
70950	NM_027616		ENSMUSG00000024306
70950			ENSMUSG00000024306
258598	NM_146605		ENSMUSG00000078116
			ENSMUSG00000044515
328401	NM_183032		ENSMUSG00000052382
70807	NM_027560		ENSMUSG00000002910
			ENSMUSG00000092596
			ENSMUSG00000083668
68187	NM_026604		ENSMUSG00000026153
			ENSMUSG00000042962
			ENSMUSG00000083699
			ENSMUSG00000083395
497113	NM_001011877		ENSMUSG00000059648
259070	NM_147067		ENSMUSG00000051414
237868	NM_001168521		ENSMUSG00000050132
237868			ENSMUSG00000050132
237868	NM_172795		ENSMUSG00000050132
237868			ENSMUSG00000050132
237868			ENSMUSG00000050132
13409	NM_028953		ENSMUSG00000024749
			ENSMUSG00000082590
319939	NM_001083587		ENSMUSG00000020422
319939			ENSMUSG00000020422
319939			ENSMUSG00000020422
319939			ENSMUSG00000020422
13190	NM_010024		ENSMUSG00000022129
			ENSMUSG00000045546
497106	NM_001011875		ENSMUSG00000068407
258559	NM_146566		ENSMUSG00000062868
			ENSMUSG00000084054
			ENSMUSG00000082252
66622	NM_025666		ENSMUSG00000041712
			ENSMUSG00000087442
			ENSMUSG00000096968
213989			ENSMUSG00000043085
213989	NM_145987		ENSMUSG00000043085
213989			ENSMUSG00000043085
			ENSMUSG00000092006
218314	NM_177622		ENSMUSG00000057842
218314			ENSMUSG00000057842
218314			ENSMUSG00000057842
218314			ENSMUSG00000057842
404319	NM_207558		ENSMUSG00000035932
			ENSMUSG00000084110
			ENSMUSG00000084110
			ENSMUSG00000087382
			ENSMUSG00000087382
			ENSMUSG00000087382
		NR_040321	ENSMUSG00000087382
			ENSMUSG00000086507
			ENSMUSG00000082840
			ENSMUSG00000095547
			ENSMUSG00000095547
			ENSMUSG00000095547
20728	NM_011461		ENSMUSG00000004359
20728			ENSMUSG00000004359
20728			ENSMUSG00000004359
20728			ENSMUSG00000004359
54324	NM_133674		ENSMUSG00000033542
54324			ENSMUSG00000033542
54324			ENSMUSG00000033542
54324			ENSMUSG00000033542
54324			ENSMUSG00000033542
54324			ENSMUSG00000033542
54324			ENSMUSG00000033542
54324			ENSMUSG00000033542
			ENSMUSG00000079645
			ENSMUSG00000081095
58809	NM_021472		ENSMUSG00000021876
58809	NM_201239		ENSMUSG00000021876
			ENSMUSG00000080721
			ENSMUSG00000085078
18806			ENSMUSG00000020828
18806	NM_008876		ENSMUSG00000020828
18806			ENSMUSG00000020828
18806			ENSMUSG00000020828
18806			ENSMUSG00000020828
18806			ENSMUSG00000020828
18806			ENSMUSG00000020828
			ENSMUSG00000083537
			ENSMUSG00000093629
			ENSMUSG00000081015
84036			ENSMUSG00000002908
84036	NM_032397		ENSMUSG00000002908
			ENSMUSG00000083883
435653	NM_001029984		ENSMUSG00000070524
			ENSMUSG00000081663
			ENSMUSG00000080802
11727	NM_001161731		ENSMUSG00000072115
11727	NM_007447		ENSMUSG00000072115
			ENSMUSG00000086452
231691	NM_145565		ENSMUSG00000029597
231691			ENSMUSG00000029597
231691			ENSMUSG00000029597
			ENSMUSG00000091942
100009614	NM_001081452		ENSMUSG00000094012
			ENSMUSG00000066914
			ENSMUSG00000083490
			ENSMUSG00000080868
384071	NM_001013780		ENSMUSG00000040740
100502921	NM_001205035		ENSMUSG00000094146
			ENSMUSG00000086703
			ENSMUSG00000095005
			ENSMUSG00000092438
258075	NM_001011824		ENSMUSG00000095957
22682	NM_009551		ENSMUSG00000024750
22682			ENSMUSG00000024750
22682			ENSMUSG00000024750
22682			ENSMUSG00000024750
22682			ENSMUSG00000024750
16694	NM_010670		ENSMUSG00000069583
			ENSMUSG00000084776
258074	NM_001011823		ENSMUSG00000095525
100502953	NM_001205033		ENSMUSG00000096421
			ENSMUSG00000090475
			ENSMUSG00000082862
			ENSMUSG00000086693
			ENSMUSG00000096362
19084			ENSMUSG00000020612
19084			ENSMUSG00000020612
19084			ENSMUSG00000020612
19084	NM_021880		ENSMUSG00000020612
19084			ENSMUSG00000020612
77763	NM_001162944		ENSMUSG00000094120
622629	NM_001162944		ENSMUSG00000094120
670895	NM_001162944		ENSMUSG00000094120
100041250	NM_001162944		ENSMUSG00000094120
257872	NM_001012266		ENSMUSG00000045204
			ENSMUSG00000085759
28135	NM_001081122		ENSMUSG00000032534
28135			ENSMUSG00000032534
28135			ENSMUSG00000032534
28135			ENSMUSG00000032534
28135			ENSMUSG00000032534
28135			ENSMUSG00000032534
28135			ENSMUSG00000032534
			ENSMUSG00000094288
			ENSMUSG00000089710
100041261	NM_001101630		ENSMUSG00000095817
100504195			ENSMUSG00000030771
100504195			ENSMUSG00000030771
100504195			ENSMUSG00000030771
100504195			ENSMUSG00000030771
100504195	NM_027587		ENSMUSG00000030771
258557	NM_146565		ENSMUSG00000059303
258557	NM_146564		ENSMUSG00000059303
			ENSMUSG00000095186
71988	NM_028039		ENSMUSG00000022034
71988			ENSMUSG00000022034
71988			ENSMUSG00000022034
			ENSMUSG00000085276
112403			ENSMUSG00000040482
112403			ENSMUSG00000040482
112403			ENSMUSG00000040482
112403			ENSMUSG00000040482
112403			ENSMUSG00000040482
112403			ENSMUSG00000040482
112403			ENSMUSG00000040482
112403			ENSMUSG00000040482
112403			ENSMUSG00000040482
112403			ENSMUSG00000040482
112403	NM_001163770		ENSMUSG00000040482
112403	NM_033613		ENSMUSG00000040482
			ENSMUSG00000020887
			ENSMUSG00000095277
			ENSMUSG00000095593
66665	NM_001145925		ENSMUSG00000039693
66665	NM_001145924		ENSMUSG00000039693
66665	NM_028137		ENSMUSG00000039693
66665			ENSMUSG00000039693
66665			ENSMUSG00000039693
			ENSMUSG00000084313
			ENSMUSG00000090135
			ENSMUSG00000096481
			ENSMUSG00000087202
234388	NM_026964		ENSMUSG00000007721
			ENSMUSG00000085536
19056	NM_008914		ENSMUSG00000021816
19056			ENSMUSG00000021816
19056			ENSMUSG00000021816
19056			ENSMUSG00000021816
19056			ENSMUSG00000021816
19056			ENSMUSG00000021816
19056			ENSMUSG00000021816
19056			ENSMUSG00000021816
17930	NM_008664		ENSMUSG00000031461
17930			ENSMUSG00000031461
17930			ENSMUSG00000031461
17930			ENSMUSG00000031461
17930			ENSMUSG00000031461
634504			ENSMUSG00000095721
100040299			ENSMUSG00000095721
11958	NM_007507		ENSMUSG00000050856
11958			ENSMUSG00000050856
11958			ENSMUSG00000050856
		NR_045285	ENSMUSG00000089815
			ENSMUSG00000089815
			ENSMUSG00000093796
			ENSMUSG00000082347
66377	NM_025523		ENSMUSG00000037152
66377			ENSMUSG00000037152
66377			ENSMUSG00000037152
100503388	NM_001205034		ENSMUSG00000096380
			ENSMUSG00000087369
18291	NM_130869		ENSMUSG00000029736
18291			ENSMUSG00000029736
18291			ENSMUSG00000029736
			ENSMUSG00000098107
211961			ENSMUSG00000045215
211961			ENSMUSG00000045215
211961	NM_001167777		ENSMUSG00000045215
			ENSMUSG00000086948
670880			ENSMUSG00000094913
114479	NM_053248		ENSMUSG00000000792
15446	NM_008278		ENSMUSG00000031613
			ENSMUSG00000098124
67179	NM_145944		ENSMUSG00000022035
544710	NM_001024709		ENSMUSG00000096131
544710	NM_001135991		ENSMUSG00000096131
544710	NM_001205009		ENSMUSG00000096131
100191037	NM_001024709		ENSMUSG00000096131
100191037	NM_001135991		ENSMUSG00000096131
100191037	NM_001205009		ENSMUSG00000096131
102423	NM_172162		ENSMUSG00000032119
258560	NM_146567		ENSMUSG00000048391
			ENSMUSG00000095846
98752	NM_145141		ENSMUSG00000038421
98752	NM_001160215		ENSMUSG00000038421
98752			ENSMUSG00000038421
98752			ENSMUSG00000038421
98752			ENSMUSG00000038421
98752			ENSMUSG00000038421
98752		NR_027666	ENSMUSG00000038421
110954	NM_052835		ENSMUSG00000008682
110954			ENSMUSG00000008682
110954			ENSMUSG00000008682
110954			ENSMUSG00000008682
110954			ENSMUSG00000008682
110954			ENSMUSG00000008682
110954			ENSMUSG00000008682
110954			ENSMUSG00000008682
110954			ENSMUSG00000008682
110954			ENSMUSG00000008682
110954		NR_002899	ENSMUSG00000008682
434434	NM_052835		ENSMUSG00000008682
434434			ENSMUSG00000008682
434434			ENSMUSG00000008682
434434			ENSMUSG00000008682
434434			ENSMUSG00000008682
434434			ENSMUSG00000008682
434434			ENSMUSG00000008682
434434			ENSMUSG00000008682
434434			ENSMUSG00000008682
434434			ENSMUSG00000008682
434434		NR_002899	ENSMUSG00000008682
			ENSMUSG00000071217
		NR_003647	ENSMUSG00000071217
			ENSMUSG00000098781
			ENSMUSG00000098781
100503048			ENSMUSG00000049229
20474	NM_011382		ENSMUSG00000034460
20474			ENSMUSG00000034460
76808	NM_029751		ENSMUSG00000045128
			ENSMUSG00000082027
258249	NM_207145		ENSMUSG00000061614
219151	NM_172604		ENSMUSG00000034463
			ENSMUSG00000095891
			ENSMUSG00000095891
			ENSMUSG00000095891
			ENSMUSG00000095891
			ENSMUSG00000095891
			ENSMUSG00000095891
			ENSMUSG00000095891
			ENSMUSG00000095891
			ENSMUSG00000095891
			ENSMUSG00000087600
13608	NM_010100		ENSMUSG00000003227
			ENSMUSG00000085130
76355	NM_029578		ENSMUSG00000022130
104303			ENSMUSG00000060904
104303	NM_025859		ENSMUSG00000060904
104303			ENSMUSG00000060904
			ENSMUSG00000071207
69010	NM_181394		ENSMUSG00000035048
			ENSMUSG00000083455
			ENSMUSG00000085004
258279	NM_146282		ENSMUSG00000058692
69582	NM_001033150		ENSMUSG00000028917
69582			ENSMUSG00000028917
69582			ENSMUSG00000028917
69582			ENSMUSG00000028917
69582			ENSMUSG00000028917
69582			ENSMUSG00000028917
228731	NM_023504		ENSMUSG00000054160
			ENSMUSG00000082192
			ENSMUSG00000086971
270058	NM_173013		ENSMUSG00000019261
258518	NM_146525		ENSMUSG00000059821
			ENSMUSG00000083399
			ENSMUSG00000080980
			ENSMUSG00000082259
252974			ENSMUSG00000069581
252974			ENSMUSG00000069581
252974			ENSMUSG00000069581
			ENSMUSG00000083754
			ENSMUSG00000083754
258520	NM_146527		ENSMUSG00000052182
			ENSMUSG00000084209
			ENSMUSG00000074252
71764	NM_027909		ENSMUSG00000032120
			ENSMUSG00000090722
			ENSMUSG00000090722
			ENSMUSG00000090722
			ENSMUSG00000091388
258516	NM_146523		ENSMUSG00000094535
57342			ENSMUSG00000030770
57342	NM_020606		ENSMUSG00000030770
57342			ENSMUSG00000030770
57342			ENSMUSG00000030770
57342			ENSMUSG00000030770
57342			ENSMUSG00000030770
		NR_045489	ENSMUSG00000098144
			ENSMUSG00000086114
			ENSMUSG00000091655
			ENSMUSG00000087534
			ENSMUSG00000078915
17420	NM_008612		ENSMUSG00000021103
242851	NM_001081143		ENSMUSG00000028777
67050	NM_025937		ENSMUSG00000016409
67050			ENSMUSG00000016409
258907	NM_146905		ENSMUSG00000052625
			ENSMUSG00000082435
			ENSMUSG00000084996
258908	NM_146906		ENSMUSG00000051160
			ENSMUSG00000086689
171395			ENSMUSG00000046634
171395			ENSMUSG00000046634
171395			ENSMUSG00000046634
			ENSMUSG00000092253
22370			ENSMUSG00000017344
22370	NM_011707		ENSMUSG00000017344
22370			ENSMUSG00000017344
22370			ENSMUSG00000017344
258515	NM_146522		ENSMUSG00000095667
		NR_033582	ENSMUSG00000069796
76357	NM_029580		ENSMUSG00000034442
74838	NM_053089		ENSMUSG00000063273
			ENSMUSG00000094873
13478	NM_007875		ENSMUSG00000032123
16681	NM_010668		ENSMUSG00000064201
234839			ENSMUSG00000014444
234839			ENSMUSG00000014444
234839			ENSMUSG00000014444
234839			ENSMUSG00000014444
234839			ENSMUSG00000014444
234839			ENSMUSG00000014444
234839			ENSMUSG00000014444
234839			ENSMUSG00000014444
234839	NM_001037298		ENSMUSG00000014444
			ENSMUSG00000096736
			ENSMUSG00000079505
68183	NM_026602		ENSMUSG00000005687
68183			ENSMUSG00000005687
68183			ENSMUSG00000005687
68183			ENSMUSG00000005687
68183			ENSMUSG00000005687
68183			ENSMUSG00000005687
			ENSMUSG00000091526
319211			ENSMUSG00000041923
319211	NM_001161483		ENSMUSG00000041923
319211	NM_199024		ENSMUSG00000041923
319211			ENSMUSG00000041923
319211			ENSMUSG00000041923
319211			ENSMUSG00000041923
319211			ENSMUSG00000041923
319211			ENSMUSG00000041923
319211			ENSMUSG00000041923
			ENSMUSG00000096201
			ENSMUSG00000096201
			ENSMUSG00000091731
12499	NM_001026214		ENSMUSG00000021236
12499	NM_007647		ENSMUSG00000021236
12499			ENSMUSG00000021236
12499			ENSMUSG00000021236
12499			ENSMUSG00000021236
12499			ENSMUSG00000021236
12499			ENSMUSG00000021236
12499			ENSMUSG00000021236
192195	NM_138679		ENSMUSG00000028053
381629			ENSMUSG00000013622
381629			ENSMUSG00000013622
381629	NM_027855		ENSMUSG00000013622
381629			ENSMUSG00000013622
381629			ENSMUSG00000013622
381629			ENSMUSG00000013622
381629			ENSMUSG00000013622
381629			ENSMUSG00000013622
51897	NM_145528		ENSMUSG00000027244
51897			ENSMUSG00000027244
51897			ENSMUSG00000027244
51897			ENSMUSG00000027244
51897			ENSMUSG00000027244
51897			ENSMUSG00000027244
12236	NM_009773		ENSMUSG00000040084
12236			ENSMUSG00000040084
12236			ENSMUSG00000040084
12236			ENSMUSG00000040084
		NR_051981	ENSMUSG00000055413
			ENSMUSG00000055413
			ENSMUSG00000055413
76478			ENSMUSG00000035439
76478	NM_001163042		ENSMUSG00000035439
76478	NM_029621		ENSMUSG00000035439
76478			ENSMUSG00000035439
76478			ENSMUSG00000035439
76478			ENSMUSG00000035439
76478			ENSMUSG00000035439
76478			ENSMUSG00000035439
76478			ENSMUSG00000035439
			ENSMUSG00000098136
208659			ENSMUSG00000020614
208659	NM_153782		ENSMUSG00000020614
208659			ENSMUSG00000020614
208659			ENSMUSG00000020614
		NR_027957	ENSMUSG00000055897
			ENSMUSG00000055897
			ENSMUSG00000055897
			ENSMUSG00000055897
			ENSMUSG00000055897
			ENSMUSG00000055897
			ENSMUSG00000055897
			ENSMUSG00000055897
			ENSMUSG00000055897
			ENSMUSG00000055897
			ENSMUSG00000055897
			ENSMUSG00000055897
108075	NM_175641		ENSMUSG00000040488
108075	NM_001113549		ENSMUSG00000040488
108075			ENSMUSG00000040488
108075			ENSMUSG00000040488
108075			ENSMUSG00000040488
108075			ENSMUSG00000040488
108075			ENSMUSG00000040488
108075			ENSMUSG00000040488
108075			ENSMUSG00000040488
			ENSMUSG00000095203
238386	NM_172806		ENSMUSG00000041702
52206	NM_024213		ENSMUSG00000029176
52206			ENSMUSG00000029176
52206			ENSMUSG00000029176
52206			ENSMUSG00000029176
52206			ENSMUSG00000029176
52206			ENSMUSG00000029176
52206			ENSMUSG00000029176
52206			ENSMUSG00000029176
52206			ENSMUSG00000029176
52206			ENSMUSG00000029176
12759	NM_013492		ENSMUSG00000022037
12759			ENSMUSG00000022037
12759			ENSMUSG00000022037
12759			ENSMUSG00000022037
12759			ENSMUSG00000022037
12759			ENSMUSG00000022037
12759			ENSMUSG00000022037
12759			ENSMUSG00000022037
12759			ENSMUSG00000022037
382010	NM_001009951		ENSMUSG00000038215
382010			ENSMUSG00000038215
382010			ENSMUSG00000038215
382010			ENSMUSG00000038215
382010			ENSMUSG00000038215
382010			ENSMUSG00000038215
382010			ENSMUSG00000038215
382010			ENSMUSG00000038215
			ENSMUSG00000042360
69537	NM_027109		ENSMUSG00000019088
69537	NM_001172154		ENSMUSG00000019088
69537			ENSMUSG00000019088
69537			ENSMUSG00000019088
69537			ENSMUSG00000019088
69537			ENSMUSG00000019088
629016	NM_001038651		ENSMUSG00000098905
			ENSMUSG00000093614
237353			ENSMUSG00000037990
237353	NM_172788		ENSMUSG00000037990
237353			ENSMUSG00000037990
237353			ENSMUSG00000037990
237353			ENSMUSG00000037990
15574	NM_008316		ENSMUSG00000020413
15574			ENSMUSG00000020413
15574			ENSMUSG00000020413
15574			ENSMUSG00000020413
15574			ENSMUSG00000020413
15574			ENSMUSG00000020413
71772	NM_023625		ENSMUSG00000029598
71772			ENSMUSG00000029598
71772			ENSMUSG00000029598
			ENSMUSG00000095521
629016			ENSMUSG00000099122
14130	NM_001077189		ENSMUSG00000026656
14130	NM_010187		ENSMUSG00000026656
14130			ENSMUSG00000026656
14130			ENSMUSG00000026656
14130			ENSMUSG00000026656
14130			ENSMUSG00000026656
14130			ENSMUSG00000026656
			ENSMUSG00000094015
			ENSMUSG00000098692
			ENSMUSG00000073779
17391	NM_010808		ENSMUSG00000027612
17391			ENSMUSG00000027612
12839	NM_007740		ENSMUSG00000026147
12839			ENSMUSG00000026147
12839			ENSMUSG00000026147
12839			ENSMUSG00000026147
258517	NM_146524		ENSMUSG00000043087
67739	NM_026353		ENSMUSG00000081534
67739			ENSMUSG00000081534
			ENSMUSG00000066389
408065			ENSMUSG00000078995
408065	NM_001001186		ENSMUSG00000078995
			ENSMUSG00000098159
67667			ENSMUSG00000025899
67667	NM_026303		ENSMUSG00000025899
244713	NM_172918		ENSMUSG00000057551
21802	NM_031199		ENSMUSG00000029999
			ENSMUSG00000083203
			ENSMUSG00000096831
17149	NM_001282737		ENSMUSG00000028609
17149	NM_010760		ENSMUSG00000028609
17149			ENSMUSG00000028609
13527	NM_207650		ENSMUSG00000024302
13527	NM_010087		ENSMUSG00000024302
			ENSMUSG00000043483
			ENSMUSG00000095420
269275	NM_001111030		ENSMUSG00000026834
269275	NM_001033369		ENSMUSG00000026834
269275			ENSMUSG00000026834
269275			ENSMUSG00000026834
269275			ENSMUSG00000026834
			ENSMUSG00000083371
257963	NM_001012265		ENSMUSG00000094678
18292			ENSMUSG00000001103
18292	NM_008759		ENSMUSG00000001103
58245	NM_021434		ENSMUSG00000022131
66488	NM_025591		ENSMUSG00000057497
674846	NM_025591		ENSMUSG00000057497
			ENSMUSG00000094238
625098	NM_001037717		ENSMUSG00000044712
625098			ENSMUSG00000044712
625098			ENSMUSG00000044712
625098			ENSMUSG00000044712
625098			ENSMUSG00000044712
625098			ENSMUSG00000044712
625098			ENSMUSG00000044712
625098			ENSMUSG00000044712
18358	NM_011001		ENSMUSG00000058659
19338	NM_016858		ENSMUSG00000027739
77763			ENSMUSG00000071195
634517			ENSMUSG00000071195
100041351			ENSMUSG00000071195
68011	NM_026506		ENSMUSG00000057278
66592	NM_023231		ENSMUSG00000028455
66592			ENSMUSG00000028455
66592			ENSMUSG00000028455
66592			ENSMUSG00000028455
66592			ENSMUSG00000028455
66592			ENSMUSG00000028455
66592			ENSMUSG00000028455
66592			ENSMUSG00000028455
66592			ENSMUSG00000028455
66592			ENSMUSG00000028455
66592			ENSMUSG00000028455
			ENSMUSG00000096573
18088	NM_001077632		ENSMUSG00000027434
18088	NM_010919		ENSMUSG00000027434
18088			ENSMUSG00000027434
18088			ENSMUSG00000027434
243197	NM_172883		ENSMUSG00000029490
223227	NM_177753		ENSMUSG00000061517
223227			ENSMUSG00000061517
237387	NM_145152		ENSMUSG00000051652
73251	NM_080793		ENSMUSG00000037111
73251			ENSMUSG00000037111
270685	NM_172308		ENSMUSG00000040675
270685	NM_001170785		ENSMUSG00000040675
270685	NM_001170786		ENSMUSG00000040675
270685			ENSMUSG00000040675
195040	NM_199199		ENSMUSG00000051232
195040			ENSMUSG00000051232
195040			ENSMUSG00000051232
195040			ENSMUSG00000051232
66881	NM_025823		ENSMUSG00000029998
66881			ENSMUSG00000029998
66881			ENSMUSG00000029998
66881			ENSMUSG00000029998
14677	NM_010305		ENSMUSG00000057614
258519	NM_146526		ENSMUSG00000095448
104015	NM_001164483		ENSMUSG00000022973
104015			ENSMUSG00000022973
104015			ENSMUSG00000022973
104015			ENSMUSG00000022973
104015			ENSMUSG00000022973
104015			ENSMUSG00000022973
104015			ENSMUSG00000022973
104015			ENSMUSG00000022973
104015			ENSMUSG00000022973
104015	NM_001045515		ENSMUSG00000022973
72807			ENSMUSG00000078994
72807	NM_001080941		ENSMUSG00000078994
246256	NM_144559		ENSMUSG00000059089
15270	NM_010436		ENSMUSG00000049932
16418	NM_010579		ENSMUSG00000027613
16418			ENSMUSG00000027613
16418			ENSMUSG00000027613
16418			ENSMUSG00000027613
16418			ENSMUSG00000027613
16418			ENSMUSG00000027613
16418			ENSMUSG00000027613
194974	NM_177576		ENSMUSG00000040985
194974			ENSMUSG00000040985
56332			ENSMUSG00000032531
56332			ENSMUSG00000032531
56332			ENSMUSG00000032531
56332	NM_019764		ENSMUSG00000032531
56332			ENSMUSG00000032531
56332			ENSMUSG00000032531
56332			ENSMUSG00000032531
56332			ENSMUSG00000032531
56332			ENSMUSG00000032531
56332			ENSMUSG00000032531
56332			ENSMUSG00000032531
56332			ENSMUSG00000032531
56332			ENSMUSG00000032531
258521	NM_146528		ENSMUSG00000066905
			ENSMUSG00000053545
230157			ENSMUSG00000028347
